,,Acceleration,,Skidpad,,Autocross,,Endurance,,,
,,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,,
,,3.746,5.619,4.934,6.1675,45.734,66.3143,1369.936,1986.4072,,
Cd,Cl,lap time,points,lap time,points,lap time ,points,lap time,total time,points,Point Sum
0,0,3.38070441346355,130.957,4.290,139.119,53.389,70.252,58.138,1279.036,307.250,647.578
0,0.3,3.381,130.933,4.267,141.939,53.034,72.441,57.776,1271.077,312.652,657.965
0,0.6,3.381,130.908,4.244,144.821,52.679,74.662,57.414,1263.100,318.136,668.527
0,0.9,3.381,130.884,4.221,147.766,52.323,76.917,57.050,1255.095,323.708,679.276
0,1.2,3.382,130.859,4.198,150.777,51.966,79.208,56.685,1247.072,329.365,690.208
0,1.5,3.382,130.835,4.174,153.854,51.610,81.528,56.321,1239.054,335.091,701.309
0,1.8,3.382,130.810,4.151,157.002,51.255,83.873,55.957,1231.046,340.885,712.571
0,2.1,3.383,130.785,4.127,160.222,50.902,86.234,55.593,1223.036,346.756,723.997
0,2.4,3.383,130.761,4.104,163.517,50.553,88.598,55.229,1215.044,352.691,735.567
0,2.7,3.383,130.736,4.080,166.873,50.209,90.967,54.867,1207.071,358.690,747.266
0,3,3.383,130.711,4.056,170.325,49.868,93.348,54.506,1199.122,364.751,759.135
0,3.3,3.384,130.687,4.032,173.859,49.527,95.757,54.144,1191.168,370.896,771.199
0,3.6,3.384,130.662,4.007,177.480,49.187,98.193,53.783,1183.233,377.109,783.444
0,3.9,3.384,130.637,3.983,181.191,48.848,100.661,53.424,1175.335,383.376,795.865
0,4.2,3.384,130.612,3.958,184.993,48.507,103.173,53.066,1167.449,389.719,808.498
0,4.5,3.385,130.587,3.933,188.892,48.166,105.724,52.708,1159.580,396.133,821.337
0,4.8,3.385,130.563,3.909,192.891,47.826,108.298,52.352,1151.752,402.602,834.353
0,5.1,3.385,130.538,3.883,196.993,47.490,110.879,51.999,1143.978,409.113,847.523
0,5.4,3.385,130.513,3.858,201.203,47.160,113.452,51.649,1136.276,415.652,860.819
0,5.7,3.386,130.488,3.833,205.525,46.840,115.982,51.300,1128.590,422.266,874.260
0,6,3.386,130.463,3.807,209.964,46.521,118.538,50.950,1120.892,428.982,887.946
0.2,0,3.390,130.127,4.290,139.095,53.405,70.154,58.162,1279.573,306.888,646.264
0.2,0.3,3.390,130.101,4.267,141.915,53.051,72.336,57.801,1271.621,312.281,656.634
0.2,0.6,3.390,130.076,4.244,144.796,52.696,74.552,57.439,1263.652,317.754,667.178
